Question,Answer,type,page,grade,made_date
それは私の初めての海外旅行です,It's my first trip abroad.,textbook,P9,2,2022/05/07
私はとても興奮しています。,I'm so excited.,textbook,P9,2,2022/05/07
私は叔母と彼女の夫と一緒にいるつもりです。,I'm going to stay with my aunt and her husband.,textbook,P9,2,2022/05/07
彼らは私を案内してくれるでしょう。,They're going to show me around.,textbook,P9,2,2022/05/07
あなたはどうですか？,How about you?,textbook,P9,2,2022/05/07
休みに何か計画をしていますか？,Do you have any plans for the holidays?,textbook,P9,2,2022/05/07
私たちは今日何をしますか？,What are we going to do today?,textbook,P10,2,2022/05/07
最初にマーライオンパークに訪問します,"First, we're going to visit Merlion Park.",textbook,P10,2,2022/05/07
公園はここから遠いですか？,Is the park far from here?,textbook,P10,2,2022/05/07
すぐにマーライオンが見えます,You'll she the Merlion soon.,textbook,P10,2,2022/05/07
その後昼食を取ります,"After that, we're going to have lunch.",textbook,P10,2,2022/05/07
あなたは何が食べたいですか？,What do you want to eat?,textbook,P10,2,2022/05/07
シーフードまたはチキンライスですか？,Sea food or chicken rice?,textbook,P10,2,2022/05/07
私はシーフードが食べたいです,I want to eat seafood.,textbook,P10,2,2022/05/07
私は予約する予定です,I'll make a reservation.,textbook,P10,2,2022/05/07
私たちは今マーライオンパークにいます,We're now in Merlion Park.,textbook,P12,2,2022/05/07
マーライオンをお見せします,I'll show you the Merlion.,textbook,P12,2,2022/05/07
それはシンガポールのシンボルです,It's a symbol of Singapore.,textbook,P12,2,2022/05/07
マーは海を意味します,"""Mer"" means ""sea.""",textbook,P12,2,2022/05/07
マーライオンは蛇の体とライオンの頭を持っています,The Merlion has the body of a fish and the head of a lion.,textbook,P12,2,2022/05/07
それは8.6mの高さで70トンの重さがあります,"It's 8.6 meters tall, and it weights 70 tons.",textbook,P12,2,2022/05/07
たくさんの人がそれの写真を撮っていました。,A lot of people are talking pictures of it.,textbook,P12,2,2022/05/07
公園の近くにはいくつかのお土産屋さんがありました,There are some gift shops near the park.,textbook,P12,2,2022/05/07
私はみんなにいくつかのお土産を買いました,I bought some gifts for everyone.,textbook,P12,2,2022/05/07
私はジョシュにこれらのマーライオンクッキーをあげます,"I'll give you these Merlion cookies, Josh.",textbook,P12,2,2022/05/07
あなたはあのフェリス観覧車を見ることができますか？,Can you see that Ferris wheel?,textbook,P12,2,2022/05/07
私たちは昼食の後あれに乗ります,We're going to ride it after lunch.,textbook,P12,2,2022/05/07
今日私たちはマーライオンパークに訪問して観覧車に乗りました。,Today we visited Merlion Park and rode the Ferris wheel.,textbook,P12,2,2022/05/07
人々はそれをシンガポールフライヤーと呼びます,People call it the Singapore flyer.,textbook,P12,2,2022/05/07
それは私たちを165メートルまであげました,It took us up to 165 meters.,textbook,P12,2,2022/05/07
怖かったけど楽しかったです。,"It was scary, but fun.",textbook,P12,2,2022/05/07
私たちはショッピングにも行きました,"We went shopping, too.",textbook,P12,2,2022/05/07
シンガポールで、マレー語、中国語、タミル語、英語の4つの異なる言語を見つけました。,"I found four different languages on Singapore money-Malay, Chinese, Tamil, and English.",textbook,P12,2,2022/05/07
海外旅行はとても楽しかったです,Overseas trips are very interesting.,textbook,P12,2,2022/05/07
さまざまな言語や文化を体験できます,We can experience different languages and cultures,textbook,P12,2,2022/05/07
私の家の近くにはいいカレーのお店があります,There's a good curry restaurant near my house.,textbook,P24,2,2022/05/07
私はいつかそこに行きたいです,I want to go there sometimes.,textbook,P24,2,2022/05/07
めぐとかいとは次の日曜日にそこに行きます,Meg and Kaito will go there this Sunday.,textbook,P24,2,2022/05/07
時間があったら私たちは一緒に行きたいです。,"If you have time, we can go with them.  ",textbook,P24,2,2022/05/07
私はカレーピラフを食べたいです,I want to eat curry pilaf.,textbook,P24,2,2022/05/07
ご存知のように、カレーとライスはもともと海外から日本に来ました。,"You know, curry and rice originally came to Japan from overseas.",textbook,P24,2,2022/05/07
インドからですよね？,"From India, right?",textbook,P24,2,2022/05/07
あなたは半分正しいです。,"Well, you're half right.",textbook,P24,2,2022/05/07
何を意味しますか？,What do you mean?,textbook,P24,2,2022/05/07
残りの半分に興味があるなら、この本を読んでください,Read this book if you're interested in the other half.,textbook,P24,2,2022/05/07
日本人の多くは日本にカレーが来たのはインドからだと思っています,Many people think came to Japan directly from India.,textbook,P26,2,2022/05/07
